RAM,Storage,Battery,Camera,RefreshRate,Price
16,1024,4000,32,165,149895
6,1024,5000,48,120,138475
4,128,5000,50,90,76666
12,1024,6500,50,165,167139
24,1024,4000,200,165,201610
8,2048,4000,48,120,203867
4,64,6500,108,90,104588
8,256,6000,48,120,97335
6,2048,6500,50,165,226486
12,256,4000,32,144,93906
8,64,4000,50,90,78681
24,256,4500,200,144,149232
16,2048,5500,108,60,224027
4,64,6500,48,165,93925
4,256,6000,108,90,105303
12,128,4000,50,120,85735
4,256,4500,200,90,115433
24,64,5000,108,144,116581
16,2048,4500,48,90,207933
6,512,4000,48,120,104325
12,2048,6500,48,120,226297
6,2048,4000,64,60,182723
12,128,4500,64,120,93669
8,128,4500,32,90,77172
12,256,5000,32,120,102350
8,2048,6000,64,165,230917
8,64,4000,50,90,71013
16,256,4000,32,165,99935
12,256,6500,50,144,110341
16,1024,4000,64,165,152637
6,256,4000,200,144,130653
4,1024,6000,200,90,171435
8,512,4000,200,120,148525
16,256,6500,32,120,119263
16,256,6500,64,120,125694
12,2048,5000,108,90,223223
6,512,6500,64,90,119749
16,1024,5000,64,165,168330
4,256,5000,48,144,97547
16,1024,6500,50,144,162076
12,512,6500,48,165,136689
12,2048,4500,200,60,230519
8,1024,6500,200,165,200632
8,64,4500,200,120,117903
6,128,4500,32,60,67596
6,512,6000,32,144,118369
12,2048,6000,48,144,214078
12,512,4500,48,60,103188
4,512,4500,48,165,108107
12,64,6000,48,60,91225
12,128,5500,200,165,150332
16,1024,5000,64,165,161199
24,1024,5500,108,144,183491
6,2048,5500,64,120,210251
6,2048,5000,108,144,221684
24,128,5000,64,60,100488
24,256,4500,50,120,109536
8,1024,4000,48,90,123302
6,512,6500,48,90,120196
4,512,5500,50,165,111784
12,512,4000,48,144,113046
12,1024,6500,32,165,158108
12,512,4000,50,120,106683
12,512,6000,200,165,176260
16,128,5500,48,120,96507
12,512,4000,64,120,107415
24,2048,5500,200,90,261567
12,128,6000,108,60,113302
12,1024,6000,200,60,179898
4,2048,5500,48,144,205218
6,64,5000,64,120,85376
6,512,5000,50,144,106731
8,512,5000,32,144,118226
4,2048,6000,32,120,207986
6,2048,4000,200,60,227504
4,128,4500,32,165,88846
6,128,4500,64,60,73572
16,128,5500,200,120,136041
8,128,6000,108,60,103550
6,256,4000,108,60,97713
8,1024,6500,64,144,161144
24,128,4000,108,90,104779
4,2048,5000,200,165,243658
4,1024,4000,50,165,138832
12,2048,5000,32,165,219131
24,256,4000,64,144,121147
4,512,5000,200,144,156705
24,128,5500,48,165,115284
24,256,6000,108,144,142295
12,512,6500,108,120,148510
8,128,4000,50,144,80154
6,512,6000,108,144,140677
8,64,5500,50,90,90179
12,128,5000,50,120,95176
8,1024,6500,50,165,169674
4,1024,4500,32,90,119171
24,512,5500,108,90,150903
24,512,6500,200,144,188405
12,64,4000,50,90,77094
12,2048,4500,50,165,215242
8,512,6000,108,120,131976
12,2048,6000,50,120,224328
24,512,5000,50,120,131730
6,64,6500,48,120,100413
4,2048,6000,200,90,242762
6,128,6500,64,120,98320
24,1024,6000,108,120,177868
4,128,5000,48,120,83465
6,256,4000,200,165,124762
6,256,4000,32,165,89170
8,2048,4500,200,144,247085
4,64,6000,50,144,94122
12,512,5000,48,60,104858
8,512,4000,32,144,100728
12,64,6000,200,60,117246
6,128,6000,50,60,81314
6,64,6000,64,165,100717
16,1024,4500,108,144,167281
12,512,5000,108,144,135075
8,1024,6000,32,165,148224
24,64,4500,200,90,132698
8,2048,4000,48,90,198614
6,1024,4000,48,60,114303
12,512,6500,108,144,142830
8,64,4500,50,120,80948
24,512,4000,200,90,156475
8,2048,6000,200,90,241796
12,64,6000,48,90,96823
8,128,4000,32,90,69499
8,1024,6500,108,120,163397
12,64,5500,200,120,138660
24,512,5000,108,165,153794
12,512,4000,108,60,111294
12,2048,5000,108,120,222772
4,64,4500,200,165,116018
16,64,6500,50,165,110482
4,128,5500,108,144,104036
8,128,6000,64,144,98259
4,512,5000,64,120,109788
8,2048,4000,48,120,201551
12,2048,5500,50,144,219614
16,64,5500,32,120,98146
8,256,4000,64,165,95817
4,2048,6000,64,144,213515
4,128,6000,50,165,103497
12,2048,5500,32,90,206401
8,1024,4500,50,144,150352
24,512,4000,32,165,129009
6,2048,4500,50,165,209532
4,1024,5500,32,90,127133
4,512,4000,200,90,136803
12,2048,5000,108,120,229219
12,512,5500,48,144,130971
16,128,5500,48,165,106207
16,2048,4500,32,120,207235
12,256,6000,50,60,101233
8,2048,5000,108,165,224630
24,512,4500,64,165,132883
12,256,5000,108,165,126181
12,512,5000,48,90,113550
16,512,4500,64,60,118427
8,2048,5500,200,144,247992
12,2048,6500,48,144,228694
4,128,6000,108,120,109509
4,512,4000,108,144,117832
4,2048,4500,64,90,199576
4,512,5000,50,165,121408
24,512,6500,32,120,132426
24,1024,5500,50,144,174881
16,64,6000,32,90,92016
24,2048,5000,48,60,215347
12,64,6500,200,60,134300
12,128,6500,50,60,93244
4,256,4000,50,120,85734
8,512,4500,48,165,115546
12,1024,6500,48,90,154941
6,64,6000,64,165,100315
24,128,5500,108,90,119210
6,512,6500,50,144,131276
8,2048,4000,64,120,196493
24,1024,4500,32,144,153908
8,1024,5000,200,144,192544
24,256,5500,50,90,120405
12,512,4000,48,144,118011
16,256,6000,50,120,107323
4,2048,5500,50,60,186978
16,2048,6500,32,165,229774
24,512,5000,48,165,142857
8,128,6500,48,165,112915
8,2048,6500,200,90,254599
24,64,6500,200,60,136935
8,512,4000,108,120,114224
24,128,4000,50,120,96343
24,512,4500,48,90,118952
16,256,6000,108,120,123013
6,256,5500,50,120,104468
4,512,4000,48,90,92305
24,2048,6500,64,165,252231
8,64,5500,32,120,78331
16,64,5500,50,120,94721
16,512,6500,50,60,126869
24,128,5500,32,165,115734
16,256,6000,48,60,102640
24,512,6500,50,144,141576
4,128,4000,32,120,67776
12,64,4000,48,165,93131
6,512,5500,50,165,125464
12,1024,6500,200,90,184738
12,2048,4000,64,165,215332
12,256,4000,200,120,135649
6,512,5500,48,120,110257
4,2048,5000,108,120,220835
4,512,5000,48,60,102197
12,64,6500,48,165,102794
4,64,5000,48,90,75004
16,128,4000,108,90,97935
16,128,4500,50,90,88972
16,64,5000,48,90,87768
16,256,4500,32,60,91026
6,64,5000,48,165,96689
8,64,4500,50,60,67989
6,2048,5500,108,60,207052
24,64,5500,64,120,105947
16,1024,4000,64,165,159309
6,1024,4000,200,165,176131
8,512,6500,32,60,111045
12,512,5500,200,60,145455
12,2048,5500,32,60,204662
8,1024,4500,32,90,126171
8,1024,6500,108,165,173250
24,256,5500,108,165,135062
8,512,6000,108,144,142687
4,2048,4000,200,165,233598
24,128,5500,64,90,115368
12,256,5500,64,144,114638
24,64,5000,64,120,104629
24,256,5000,48,144,114407
4,64,4000,32,144,72564
4,2048,6500,50,90,201311
16,64,6000,108,165,125517
8,2048,4000,64,120,192277
24,512,6500,32,120,138245
16,256,5000,32,165,104190
16,128,4500,200,144,140574
6,64,5000,108,120,104727
4,256,6000,48,144,102367
16,1024,6000,200,165,207140
4,1024,6500,200,120,191304
4,128,5000,200,120,123419
8,256,4000,48,90,79442
16,2048,5500,32,90,211869
24,2048,4000,32,165,213891
6,512,5500,64,120,125228
6,256,5000,200,120,134146
16,1024,4000,32,90,127499
6,1024,4000,200,60,154251
8,512,6500,64,144,131338
16,512,5500,50,90,126863
16,64,5000,64,60,86386
8,2048,6500,108,144,236961
16,2048,5000,32,90,198266
12,1024,4000,32,90,135862
8,128,4500,50,120,85718
8,64,4000,64,144,88771
6,128,5500,108,90,94991
16,1024,6500,50,60,147674
12,2048,4000,64,60,187923
12,64,5000,108,144,109840
16,512,6500,200,144,170816
8,64,5500,32,120,78999
6,1024,5500,200,120,179999
4,512,4000,48,144,102134
16,512,6000,32,144,124225
8,2048,5000,48,120,207191
6,64,6000,200,60,114576
16,1024,4500,50,120,142542
24,2048,4500,48,60,208635
6,256,4500,48,165,98380
6,2048,4000,48,144,196616
12,1024,6000,64,165,173797
24,2048,6000,50,120,238266
6,512,4000,64,144,107374
24,256,5000,108,60,116021
8,1024,4000,50,144,143021
12,64,4000,50,120,88262
4,2048,4000,108,165,206642
16,512,5500,108,165,154695
24,64,5500,108,90,116127
8,1024,5500,108,90,162921
4,512,4000,50,60,89635
16,2048,4500,32,90,201488
24,512,5500,108,165,162055
16,128,5000,50,120,104148
12,512,5000,200,165,156869
4,2048,6500,50,60,208212
8,64,6000,200,144,132783
8,256,6500,200,165,161249
6,256,4000,108,90,99675
8,256,6500,200,144,147428
6,1024,6500,32,120,143348
16,512,6500,50,90,134091
24,2048,6500,200,165,285662
4,2048,6500,64,165,222538
8,64,5000,50,90,82388
6,256,5500,48,90,92160
6,128,4000,50,60,63350
16,1024,6500,108,60,170314
24,256,6000,48,165,139011
12,128,4500,48,165,92035
6,2048,5500,32,144,199154
8,2048,6500,48,144,216899
16,256,6500,64,90,115055
16,128,5000,64,90,95277
8,2048,6000,64,144,223783
8,512,6000,108,144,141128
6,128,6000,48,120,98663
4,2048,5500,50,165,216795
4,2048,6000,32,120,208154
4,128,5000,64,165,89828
6,512,4000,48,144,103379
8,64,5500,32,144,90997
16,256,4500,64,60,91559
8,128,4000,50,60,74695
24,2048,5000,48,90,218325
4,256,5500,200,90,135946
24,512,5500,108,60,142695
4,64,5000,48,90,69397
16,2048,6000,108,144,238592
4,256,4500,50,60,69558
4,128,5500,200,165,128380
12,64,4000,64,165,100112
16,64,6500,108,165,124701
6,2048,4500,50,144,208707
4,1024,5000,48,165,142913
12,128,6500,200,60,129313
16,256,4000,108,165,125229
16,1024,6000,32,144,155429
12,64,6500,64,120,109266
8,2048,4000,50,60,189763
8,128,6500,200,60,121036
16,2048,5000,48,60,208872
8,1024,5000,200,90,179499
24,512,6500,64,90,142072
6,64,6500,64,60,85539
8,128,4000,48,60,69024
8,256,6000,64,165,113153
12,256,4000,200,90,127452
8,256,4000,200,120,123471
8,64,5000,64,144,89347
24,512,5500,50,90,131939
12,2048,5500,50,165,219495
8,64,6500,64,60,95943
12,1024,4500,108,120,163886
8,64,4000,50,120,70758
8,512,6000,200,144,158736
6,2048,5500,50,144,207235
4,2048,5000,108,144,221896
8,2048,4000,32,144,199327
8,1024,6500,200,90,183795
4,128,6000,200,144,135546
4,128,4000,48,120,76130
8,512,6000,32,165,128777
6,2048,5500,50,120,201626
12,64,6000,48,165,98985
8,512,5000,200,120,148813
6,64,4000,200,90,100933
12,1024,5500,108,60,162013
8,256,6500,64,90,113725
16,256,6500,64,90,112196
4,128,4000,64,90,75434
24,512,4000,200,120,163797
24,256,6500,32,165,129755
16,256,5000,48,90,96114
8,1024,4500,32,90,135602
6,128,5500,32,120,78705
16,1024,5000,64,165,171976
6,1024,4000,32,120,125133
12,2048,6500,64,165,240948
12,512,6000,32,90,121939
8,2048,4000,64,144,203422
24,1024,5000,48,165,171091
24,1024,4500,48,144,159760
16,64,4000,108,90,100980
8,128,4500,50,90,83239
8,1024,5000,32,120,138636
6,2048,6000,50,90,205787
24,256,6000,108,60,132906
16,2048,4500,108,165,232463
6,128,6500,108,165,118222
8,1024,4000,32,60,125343
4,2048,6000,50,90,205692
16,512,6000,200,60,156399
12,2048,6000,50,120,217588
12,128,6500,64,120,109019
12,64,6500,32,90,93875
12,512,5500,64,90,113525
8,1024,4500,50,120,141856
24,256,5500,48,120,112829
16,1024,4000,50,90,134784
12,64,5000,64,90,91197
6,64,4000,50,144,85894
16,512,4500,48,120,123576
16,2048,5000,48,90,201340
12,1024,5500,64,120,149767
12,64,4000,64,165,89360
12,128,4500,108,120,111512
4,64,5000,64,165,84641
24,2048,5500,50,165,240348
4,64,5500,48,120,76846
24,256,5500,50,60,104630
12,64,6000,108,90,100139
8,1024,5000,32,144,140048
16,512,6000,50,165,139451
24,1024,4000,48,60,135230
12,256,5000,108,120,118852
6,128,6000,108,144,106780
16,64,4000,32,90,72215
24,256,5500,108,144,137182
6,1024,6000,48,120,141424
16,256,4500,64,165,109587
24,256,6000,50,165,127754
16,1024,5500,200,165,202659
8,512,4000,50,120,106677
24,64,5500,108,120,117056
24,2048,6500,32,165,237234
12,256,6500,108,165,135169
6,2048,4000,108,144,205569
6,1024,6500,200,165,195782
12,128,6500,48,60,88775
16,2048,4000,48,60,189613
12,256,5500,48,144,105543
24,128,5500,108,165,140093
12,2048,6500,32,90,210935
16,128,6000,50,144,107314
16,512,5000,48,144,128933
16,256,6000,50,120,108346
16,512,4500,48,120,112529
16,256,4500,50,120,102466
24,128,6500,200,144,154554
8,512,5000,108,120,129649
8,64,6000,200,165,132549
12,512,5000,48,120,120969
4,256,6500,32,120,92544
12,2048,5000,200,144,254567
6,128,6000,50,165,103176
24,256,4500,32,165,115420
24,1024,4500,48,60,151573
24,1024,4500,200,90,189783
4,64,5500,50,144,88266
4,2048,4500,32,165,196976
6,512,6500,64,144,127641
24,128,5000,50,120,103386
24,64,4000,200,165,134877
6,1024,6500,200,60,177426
6,512,4500,32,144,99681
12,128,6500,50,60,100588
4,256,6000,108,60,106607
8,256,5500,200,165,147376
16,512,4500,108,144,135811
8,128,4000,50,90,73605
24,512,6500,50,90,133170
4,2048,5000,50,165,207872
24,128,4500,108,144,127723
12,1024,5000,32,144,144540
24,64,4500,48,144,108867
8,128,4000,50,144,80068
6,512,5000,50,120,114059
16,2048,6000,32,120,216335
24,256,6500,48,60,117133
24,64,5500,50,90,99835
12,2048,6000,200,120,257773
24,64,6500,50,120,117903
16,128,4500,48,144,96802
6,512,6500,108,120,135134
12,2048,6000,64,165,230338
24,128,4500,200,165,155583
4,1024,5500,108,120,164553
4,1024,4000,32,165,139061
16,128,6000,108,90,113999
6,256,6000,64,60,98326
24,128,6500,108,144,141574
4,1024,5500,32,144,135013
6,1024,5500,64,165,152486
4,1024,5500,200,120,183768
24,64,5500,50,60,93709
24,128,6000,32,60,93854
12,256,6500,32,165,120913
4,64,5500,32,120,73388
12,128,4500,200,144,130293
8,512,5500,64,144,122697
4,2048,6500,108,90,227785
24,256,4000,48,165,115369
12,1024,4500,200,90,182680
4,64,5000,64,165,94247
12,1024,5500,48,90,142817
12,256,4500,50,90,97585
24,64,4000,200,144,134414
16,64,4500,48,60,85205
4,1024,4000,64,165,149278
24,2048,4000,48,60,198971
12,512,4500,108,90,125172
4,128,6000,50,90,94508
24,1024,5000,108,165,191539
24,256,4500,50,90,101984
24,1024,4500,64,120,159531
8,64,6000,108,90,97691
24,2048,5500,108,144,254579
4,256,6500,200,144,138084
16,256,6500,64,144,123702
6,256,5500,48,165,103575
12,128,4500,50,90,81649
12,64,6000,64,144,99036
16,1024,4500,64,90,148023
8,128,5000,200,60,115107
12,256,4000,108,90,110669
4,256,5500,200,165,138002
16,64,4000,48,165,101942
24,2048,6000,48,144,234566
6,256,5000,32,90,83839
6,2048,4000,200,144,235987
6,2048,6000,200,90,241079
12,128,6000,50,120,106736
12,512,6000,200,120,159185
8,256,5000,108,144,108515
12,64,6500,64,120,111257
6,256,5000,64,60,81053
16,128,6500,48,60,101554
8,1024,6000,108,144,166712
8,128,4500,50,90,80291
12,1024,4500,64,165,148370
24,2048,5000,50,144,234198
24,2048,6500,64,144,247467
6,2048,5000,48,90,193457
24,1024,5500,48,165,180202
24,64,6000,32,60,99001
24,64,4000,64,90,95772
24,128,4000,200,90,140513
4,128,6000,64,120,96388
4,1024,6500,200,165,193889
12,2048,5500,32,60,192918
16,1024,5500,32,60,134590
16,2048,5000,108,120,228240
4,1024,6500,200,144,186091
6,64,4000,108,90,85444
6,128,6000,108,120,103144
8,256,5500,32,120,89641
12,512,6000,48,90,124241
8,2048,4000,200,60,215792
4,512,5500,64,165,126261
12,64,6500,32,90,97847
4,512,5500,200,120,148925
16,64,6000,32,90,90477
6,2048,6000,64,120,206239
4,64,6500,50,165,96512
16,2048,4000,48,120,210455
4,128,6000,48,144,95804
4,256,4500,108,90,102544
16,512,6500,108,120,143863
12,2048,4500,200,60,237580
16,2048,5000,32,60,194950
12,128,4000,50,165,99271
16,1024,5500,50,60,147602
24,256,5500,64,90,110940
8,1024,5500,64,90,152365
24,1024,6500,64,60,166044
16,256,4500,200,60,131846
4,256,4500,64,90,86490
24,512,5000,50,60,115967
4,64,5000,64,120,80489
8,64,4500,32,90,65319
12,512,6000,108,165,143326
12,64,4000,32,120,83124
16,64,6000,108,120,116893
12,64,5000,64,144,92904
4,2048,6000,48,165,218928
16,128,6500,64,90,113317
6,256,5000,50,144,100415
6,64,4500,64,120,79828
12,256,5500,32,120,104670
8,128,6500,200,144,148496
16,1024,4500,64,60,135581
6,256,4000,64,120,96221
16,512,5000,64,120,130765
12,2048,6000,48,120,220131
8,1024,6500,48,144,163700
8,128,5500,50,120,98895
24,2048,6500,64,165,250531
6,256,5500,50,144,105437
8,64,6000,48,165,99757
16,128,6500,108,60,109159
24,512,6500,48,144,145924
8,2048,4000,64,144,209238
6,2048,5000,48,120,203507
24,128,6500,64,144,134000
4,512,6000,64,165,126641
12,1024,6000,200,144,199709
16,64,5000,200,165,137192
16,2048,4000,32,90,198542
24,2048,5000,48,165,229261
4,1024,6500,200,144,190825
8,512,4000,32,60,95189
8,128,6000,200,165,150439
16,1024,6500,108,90,168689
12,256,5500,64,165,120903
24,1024,4500,50,60,146930
12,64,5000,64,60,81945
4,2048,4500,50,120,199702
8,512,4500,108,144,121729
8,512,4000,64,144,114063
8,64,5000,32,60,73248
4,256,6500,32,90,95567
24,128,6000,48,165,125720
6,256,6000,64,144,107091
6,512,6500,48,90,119399
24,2048,5500,64,60,215319
24,1024,4500,64,165,170467
12,512,4000,200,90,139198
6,256,6500,32,165,116853
4,1024,4500,50,120,139124
6,512,4000,50,144,107427
16,2048,5000,108,144,231303
16,512,6000,32,120,129258
8,512,6000,48,120,112771
16,1024,4000,200,90,170527
8,64,4500,50,60,72863
6,256,6500,48,165,113093
12,512,6000,48,165,136758
12,512,4500,64,165,119247
24,2048,4500,108,90,230640
12,256,4500,48,120,93360
12,1024,4000,50,60,126192
12,128,4500,64,165,96518
16,2048,5500,64,144,229690
12,2048,5500,64,90,209212
4,1024,4000,48,120,127227
4,256,4500,108,120,102762
6,512,6000,200,144,167776
16,1024,4000,108,60,145976
8,1024,5000,108,60,152319
24,512,6000,48,144,139353
4,2048,6500,48,120,204346
4,512,5000,50,60,96543
12,64,4500,48,165,90320
24,256,6500,108,144,149716
6,1024,4500,48,90,126947
4,1024,5000,108,120,150566
16,1024,4500,50,120,144113
8,1024,5000,108,60,151001
6,512,4000,50,90,104232
24,128,4500,48,120,106818
6,2048,5500,64,90,205225
16,2048,5000,200,144,250082
12,512,4000,200,60,138886
12,1024,6500,50,120,163028
12,512,5000,108,60,125297
24,64,6500,64,120,121207
4,1024,5500,48,144,144908
6,512,5000,50,120,117325
8,1024,6000,48,165,160557
12,256,6500,32,60,101821
4,2048,5500,32,60,180897
6,512,5500,32,144,114146
6,2048,4500,200,120,236488
6,256,4000,200,120,120134
8,64,5000,200,90,112907
4,512,6500,50,90,107045
12,2048,4000,200,60,227748
4,128,5500,32,90,76425
16,128,6000,200,144,150508
4,64,6500,50,60,85278
12,2048,4500,64,60,190492
6,512,4000,200,60,128263
4,256,5000,50,90,86447
12,128,6500,200,90,131008
4,1024,6000,32,165,153480
24,128,5500,50,90,106344
24,2048,4500,64,165,234380
24,512,4500,32,60,113187
6,64,6000,200,144,136617
8,512,5000,48,90,104508
8,2048,4000,48,165,198684
16,1024,6500,108,120,174207
24,64,6500,50,90,117867
16,1024,6000,48,144,159346
8,2048,4000,48,144,193522
12,64,4500,64,165,94019
4,1024,4000,50,120,123911
6,512,6000,64,120,118593
16,2048,4500,64,60,199984
4,1024,4000,32,120,119983
6,64,4000,64,165,88619
8,2048,6500,108,144,234206
12,2048,5500,32,165,216337
16,1024,4500,50,60,142264
8,64,6000,48,90,91683
16,256,5500,108,60,109800
8,2048,5500,200,90,236446
4,128,4000,64,60,66924
12,1024,6000,32,120,153958
24,2048,6500,200,90,274432
4,64,6500,48,60,76354
6,512,5000,108,165,129588
24,256,4500,50,90,104777
24,256,6500,32,60,118544
8,512,5000,108,60,120264
8,2048,6000,200,60,245677
12,512,6000,50,60,115207
12,1024,4500,50,90,144731
8,64,6000,200,60,112968
6,2048,6000,32,60,188245
4,128,4000,64,120,76572
12,128,4500,32,165,86478
24,2048,6500,64,90,233066
8,128,5500,200,120,137392
8,64,6000,50,60,88663
16,2048,4000,48,90,192675
16,64,5500,32,144,105740
8,256,5000,32,165,100060
12,64,5000,48,120,89922
16,256,6500,108,90,123931
12,256,6000,64,90,104320
24,1024,4500,48,60,141542
12,64,4500,108,120,102851
24,2048,4000,50,60,197697
24,512,6500,200,120,175902
4,128,6000,48,144,104143
12,64,4500,200,120,131763
4,64,4500,108,144,92506
24,256,5500,200,60,150729
16,64,6000,48,144,104446
4,1024,6000,32,144,146495
24,128,4500,50,120,101560
8,512,6500,200,120,165252
8,512,5000,48,60,100386
6,128,6000,32,90,81571
4,128,5500,64,120,91272
12,64,6000,50,90,100223
12,256,5500,50,60,98190
4,128,6500,50,165,102268
4,128,5000,48,60,72931
24,128,5000,64,165,115816
4,2048,5000,50,90,197794
4,512,5500,108,165,127387
6,64,5500,32,90,80048
4,64,4000,48,90,59902
6,512,5000,200,60,130876
16,1024,5000,32,60,137300
4,128,6500,64,90,91841
4,256,4000,32,144,81385
4,128,6000,64,144,103574
12,64,5500,200,144,134701
6,256,4500,48,120,93646
8,512,4500,32,165,108749
16,1024,4500,200,120,187588
12,512,6000,64,60,117250
4,256,5500,48,144,97414
6,2048,6000,48,165,218704
4,512,6500,50,144,120270
16,512,5000,108,165,144630
8,512,5000,48,60,99921
8,1024,4500,32,120,131486
4,512,6000,50,165,122451
6,128,4000,48,90,80448
8,1024,6500,32,90,144481
16,512,5000,48,90,109073
6,1024,5000,200,120,172779
16,64,6500,200,120,143696
16,1024,4500,108,90,161356
12,1024,5000,48,144,155253
4,64,4000,48,165,73882
6,64,6000,64,60,81133
8,1024,4500,48,120,144604
24,128,5000,32,60,86471
6,1024,6500,48,60,139753
16,256,4000,50,144,108684
16,64,5000,50,120,98325
6,128,6500,64,144,105738
24,256,4500,200,165,152541
24,1024,5000,48,165,171349
6,512,5000,200,120,141060
6,128,6500,32,165,100752
12,1024,4000,48,165,150968
8,1024,4500,200,165,182281
4,512,4500,50,60,95398
6,256,5000,48,60,87271
24,2048,6500,200,120,279087
12,64,5000,48,90,86020
24,64,5000,50,60,95988
24,64,4000,64,144,97925
24,512,4500,64,144,136131
12,256,6000,64,60,104432
12,1024,6500,200,90,192742
6,512,4000,32,120,97014
4,256,5000,32,60,73272
8,128,5500,48,60,75404
16,64,5000,108,165,119087
12,2048,4000,64,90,201499
16,512,4500,32,60,97861
8,128,4500,64,165,96399
24,2048,6000,50,120,227266
8,128,4000,32,144,75010
16,1024,5500,48,60,144028
8,64,5500,32,120,79963
24,2048,6000,64,90,227181
4,64,4500,48,120,78646
4,512,4000,50,144,100126
12,512,6500,50,60,119325
24,1024,5500,48,120,163817
12,256,4500,64,60,94354
8,512,5500,50,90,115346
8,1024,4000,48,60,131325
4,2048,5000,108,144,222314
16,128,6000,32,144,103068
16,512,6000,200,144,168588
16,128,5500,50,60,89029
12,2048,4000,108,165,225415
16,1024,6500,108,90,169549
4,512,4500,48,90,98993
6,128,4000,64,60,77651
24,512,4500,200,90,158339
16,256,5000,200,60,134007
4,512,6000,64,165,132336
8,256,6000,64,60,98846
24,1024,6000,108,144,190736
4,512,4500,48,165,113370
16,1024,4000,32,165,143412
4,256,6000,50,144,103110
8,512,6500,64,165,138208
16,512,4000,48,120,120203
12,128,6000,108,144,125477
4,512,5000,200,90,132224
4,2048,5500,50,120,196994
4,256,5000,50,120,85791
12,2048,6500,32,90,215112
6,256,6500,64,120,109736
8,2048,5500,108,60,205103
6,512,4500,64,144,106768
16,256,4000,108,90,104789
4,256,6500,108,144,128508
6,1024,6000,32,90,130973
6,128,4000,48,60,61785
12,64,5000,200,90,118067
8,256,5500,108,144,124852
24,64,6500,32,90,113847
8,512,6000,64,90,116836
12,1024,6000,50,120,149792
6,256,6500,200,60,130270
8,64,5500,32,90,85100
16,128,4500,200,90,123255
24,128,5000,200,144,153525
16,64,6500,32,144,110436
6,2048,4500,108,60,206370
6,256,6000,50,120,105663
12,512,5000,64,120,118068
6,512,5000,200,165,161607
16,512,6000,32,60,116162
16,2048,5000,108,165,242750
16,256,5000,200,60,139203
12,64,5000,50,120,94044
8,256,6500,200,120,154321
6,128,6000,48,60,81870
16,512,6500,50,90,121876
24,64,6500,64,120,115616
8,512,5500,64,60,106765
16,2048,6000,48,120,227134
24,2048,4500,200,165,260866
24,512,6500,50,165,147304
8,128,6500,108,90,112068
8,64,5500,48,120,92869
24,1024,4500,200,120,195893
24,64,4500,50,90,90670
24,256,5500,50,120,114963
8,1024,5000,64,60,136502
12,64,6500,108,165,125060
16,64,5500,48,165,105854
4,2048,5500,108,120,223603
12,64,4500,48,90,73793
8,512,6000,64,90,121495
8,2048,4500,32,144,203423
8,2048,4500,50,60,186843
4,512,5000,48,90,102269
16,128,5500,32,90,96291
16,512,6500,64,144,141415
12,512,5500,32,60,98587
16,128,6500,50,60,96648
8,1024,4500,32,60,129159
24,2048,4500,48,120,220617
8,128,4000,64,165,98639
16,256,4500,32,60,86179
8,256,5500,200,165,151037
16,1024,5000,64,90,146559
8,512,5000,48,90,101265
12,64,4500,48,90,79923
6,2048,4000,108,165,224317
6,64,5000,200,60,102379
12,2048,5000,108,165,234951
4,1024,4000,200,60,154004
