RAM,Storage,GPU,Screen,Processor,Price
32,4096,M5 Pro,18.0,Max,390698.0
8,256,RTX 5080,14.0,Max,261376.0
8,256,M5 Max,16.0,Max,259031.0
32,2048,M5 Max,17.3,Base,316106.0
64,4096,RTX 5060,15.6,Base,348906.0
64,256,M5 Max,17.3,Pro,281932.0
32,2048,Integrated,18.0,Max,237081.0
128,1024,Integrated,18.0,Max,275544.0
128,1024,M5 Pro,15.6,Ultra,384043.0
32,4096,RTX 5060,14.0,Ultra,395832.0
64,512,M5 Max,17.3,Max,329347.0
64,4096,Integrated,15.6,Max,351505.0
16,2048,M5 Max,17.3,Max,358808.0
64,2048,M5 Pro,18.0,Pro,301574.0
128,2048,RTX 5060,18.0,Base,322157.0
32,4096,M5 Max,15.6,Base,394679.0
16,1024,RTX 5060,14.0,Pro,210875.0
8,256,RTX 5060,16.0,Base,149605.0
64,2048,M5 Max,14.0,Ultra,410882.0
64,2048,RTX 5060,14.0,Base,256176.0
8,2048,RTX 5060,14.0,Ultra,301268.0
8,4096,RTX 5060,13.3,Ultra,374950.0
16,2048,M5 Max,17.3,Max,353093.0
64,4096,M5 Max,16.0,Ultra,504452.0
16,2048,M5 Pro,15.6,Pro,256422.0
32,4096,M5 Pro,18.0,Pro,362350.0
32,2048,Integrated,18.0,Max,246205.0
16,1024,RTX 5080,15.6,Base,245166.0
16,512,RTX 5060,16.0,Pro,193148.0
16,256,M5 Pro,16.0,Max,230974.0
128,2048,M5 Pro,13.3,Pro,358167.0
64,2048,M5 Max,18.0,Base,348294.0
128,2048,M5 Pro,13.3,Max,379675.0
32,2048,M5 Pro,17.3,Pro,284503.0
64,512,RTX 5080,16.0,Ultra,361821.0
8,2048,RTX 5080,18.0,Ultra,379140.0
16,2048,RTX 5060,17.3,Base,226894.0
64,4096,M5 Max,18.0,Base,417414.0
8,2048,RTX 5060,16.0,Pro,231998.0
8,1024,M5 Pro,15.6,Pro,228186.0
64,1024,RTX 5080,16.0,Max,335219.0
64,1024,Integrated,16.0,Base,180358.0
128,256,RTX 5080,14.0,Base,310554.0
8,256,RTX 5060,14.0,Base,154181.0
128,512,RTX 5060,14.0,Ultra,331697.0
8,4096,RTX 5060,16.0,Max,353161.0
32,512,M5 Max,17.3,Base,250469.0
16,1024,Integrated,17.3,Base,144672.0
32,4096,M5 Pro,16.0,Pro,362692.0
8,4096,RTX 5060,13.3,Max,339533.0
128,256,M5 Max,13.3,Max,363171.0
128,2048,RTX 5080,13.3,Max,424547.0
8,2048,M5 Pro,13.3,Ultra,321077.0
32,2048,RTX 5060,16.0,Pro,259693.0
128,1024,M5 Max,17.3,Ultra,436007.0
64,2048,M5 Max,15.6,Max,384550.0
16,256,RTX 5080,16.0,Pro,250747.0
64,4096,M5 Max,18.0,Ultra,502534.0
32,256,M5 Pro,15.6,Pro,198346.0
64,512,RTX 5080,15.6,Max,319656.0
32,4096,RTX 5080,17.3,Base,393514.0
128,512,Integrated,14.0,Ultra,278406.0
64,4096,RTX 5060,18.0,Ultra,426570.0
64,2048,Integrated,13.3,Max,253468.0
16,2048,RTX 5060,15.6,Max,279465.0
64,4096,M5 Max,15.6,Ultra,486903.0
128,1024,RTX 5080,18.0,Ultra,421358.0
32,1024,RTX 5080,14.0,Base,262554.0
16,1024,Integrated,18.0,Pro,167639.0
16,512,M5 Pro,15.6,Max,227784.0
8,512,RTX 5080,14.0,Max,283117.0
16,1024,Integrated,18.0,Pro,163568.0
32,256,Integrated,17.3,Max,167025.0
16,2048,Integrated,13.3,Max,228995.0
64,2048,M5 Pro,15.6,Pro,314285.0
8,1024,M5 Pro,13.3,Base,195609.0
64,2048,Integrated,17.3,Base,209356.0
16,512,M5 Max,15.6,Base,241562.0
16,256,M5 Max,16.0,Pro,239777.0
128,2048,M5 Pro,16.0,Max,390875.0
128,2048,RTX 5080,17.3,Base,392797.0
128,256,RTX 5060,18.0,Pro,259494.0
32,256,RTX 5060,14.0,Pro,179695.0
128,256,RTX 5060,13.3,Ultra,316632.0
64,4096,M5 Pro,15.6,Base,370189.0
16,1024,RTX 5080,18.0,Ultra,347851.0
8,512,RTX 5080,18.0,Pro,248671.0
64,256,M5 Max,14.0,Pro,274371.0
32,512,Integrated,13.3,Pro,152574.0
32,4096,M5 Max,15.6,Ultra,460842.0
8,2048,RTX 5080,18.0,Ultra,375767.0
32,4096,M5 Max,16.0,Ultra,474128.0
8,4096,Integrated,16.0,Max,296629.0
128,1024,Integrated,13.3,Pro,232287.0
128,4096,Integrated,18.0,Max,400244.0
128,256,RTX 5060,16.0,Ultra,333955.0
32,512,M5 Max,16.0,Ultra,325857.0
8,2048,RTX 5080,16.0,Max,330517.0
32,256,RTX 5060,15.6,Ultra,238970.0
64,1024,M5 Pro,17.3,Base,248534.0
64,256,RTX 5080,15.6,Max,317727.0
8,2048,M5 Max,13.3,Ultra,364259.0
64,256,RTX 5060,17.3,Max,247629.0
128,2048,M5 Pro,13.3,Pro,359815.0
32,4096,RTX 5060,15.6,Ultra,406348.0
64,256,Integrated,18.0,Pro,174483.0
16,1024,M5 Max,13.3,Ultra,323171.0
8,512,Integrated,16.0,Base,113123.0
16,2048,RTX 5080,17.3,Max,345866.0
64,2048,M5 Pro,14.0,Ultra,353106.0
128,512,M5 Pro,14.0,Pro,289218.0
8,1024,M5 Pro,15.6,Max,249971.0
8,1024,RTX 5080,17.3,Ultra,324871.0
16,2048,M5 Max,16.0,Max,338454.0
32,4096,M5 Max,16.0,Ultra,479667.0
32,512,RTX 5060,17.3,Ultra,259360.0
16,2048,Integrated,15.6,Ultra,265280.0
64,2048,RTX 5060,16.0,Base,273463.0
16,4096,M5 Max,15.6,Base,373599.0
64,256,M5 Max,16.0,Base,255825.0
16,2048,RTX 5060,13.3,Ultra,302431.0
32,1024,M5 Max,18.0,Ultra,347296.0
8,1024,M5 Max,16.0,Max,291162.0
64,4096,Integrated,17.3,Base,297795.0
16,1024,RTX 5060,18.0,Base,187880.0
64,256,Integrated,16.0,Pro,160056.0
32,256,Integrated,15.6,Base,121297.0
32,1024,RTX 5080,16.0,Pro,293046.0
16,4096,M5 Pro,17.3,Pro,357886.0
16,512,Integrated,17.3,Ultra,201955.0
128,512,M5 Pro,17.3,Pro,296688.0
16,2048,RTX 5080,16.0,Max,353091.0
8,2048,RTX 5080,18.0,Pro,316155.0
8,2048,RTX 5080,17.3,Max,346088.0
64,1024,M5 Pro,15.6,Pro,255409.0
64,2048,Integrated,14.0,Ultra,286543.0
128,1024,M5 Max,15.6,Max,399149.0
8,2048,RTX 5080,13.3,Base,294412.0
128,2048,RTX 5080,14.0,Max,429478.0
16,512,M5 Max,15.6,Pro,254728.0
8,256,RTX 5080,16.0,Base,216040.0
128,1024,RTX 5060,13.3,Max,329514.0
32,2048,RTX 5060,14.0,Pro,255394.0
128,1024,M5 Max,17.3,Max,403111.0
16,1024,M5 Pro,15.6,Max,263599.0
8,2048,Integrated,14.0,Pro,177474.0
64,4096,RTX 5080,13.3,Ultra,486139.0
8,1024,M5 Max,13.3,Ultra,320255.0
32,1024,M5 Max,16.0,Max,320743.0
8,512,M5 Pro,13.3,Max,226354.0
128,512,Integrated,18.0,Ultra,296912.0
32,2048,Integrated,14.0,Base,181059.0
8,1024,M5 Pro,13.3,Base,193597.0
16,4096,RTX 5060,16.0,Ultra,394226.0
32,4096,M5 Pro,17.3,Pro,356597.0
64,256,M5 Pro,17.3,Ultra,291632.0
32,256,RTX 5080,14.0,Ultra,320322.0
64,512,RTX 5080,13.3,Max,310480.0
128,1024,Integrated,16.0,Max,279532.0
16,256,M5 Pro,13.3,Pro,182601.0
128,256,Integrated,15.6,Pro,218047.0
16,4096,RTX 5060,13.3,Pro,325209.0
128,512,RTX 5060,15.6,Pro,266949.0
128,256,RTX 5080,14.0,Pro,337980.0
128,1024,RTX 5060,13.3,Base,273952.0
16,256,RTX 5080,14.0,Max,266739.0
8,512,RTX 5080,13.3,Pro,237467.0
64,4096,Integrated,18.0,Base,304486.0
64,2048,RTX 5080,17.3,Base,328938.0
64,4096,RTX 5060,17.3,Base,344375.0
128,1024,M5 Pro,18.0,Base,300656.0
8,2048,M5 Pro,16.0,Base,234875.0
64,2048,Integrated,13.3,Max,258866.0
128,512,Integrated,14.0,Max,248930.0
128,4096,M5 Max,18.0,Max,524997.0
64,4096,M5 Max,15.6,Ultra,506070.0
128,4096,M5 Pro,13.3,Base,420269.0
128,512,M5 Pro,16.0,Pro,291773.0
64,1024,M5 Pro,16.0,Ultra,332237.0
8,1024,M5 Pro,15.6,Max,252933.0
32,512,M5 Pro,13.3,Base,197245.0
8,256,M5 Pro,13.3,Max,206676.0
16,4096,Integrated,17.3,Max,309994.0
8,2048,RTX 5080,18.0,Ultra,374997.0
8,1024,M5 Max,15.6,Max,294455.0
8,4096,M5 Max,14.0,Pro,397978.0
64,512,Integrated,15.6,Max,209489.0
8,1024,M5 Max,14.0,Ultra,330996.0
128,4096,M5 Max,18.0,Base,469262.0
128,1024,Integrated,14.0,Max,270511.0
32,1024,RTX 5080,13.3,Pro,278760.0
16,4096,M5 Pro,13.3,Pro,341236.0
8,256,M5 Max,14.0,Ultra,293647.0
64,2048,RTX 5080,14.0,Max,384066.0
32,1024,M5 Max,17.3,Base,265802.0
8,512,RTX 5060,17.3,Base,162792.0
8,1024,M5 Pro,18.0,Ultra,281039.0
64,4096,M5 Pro,16.0,Max,415248.0
16,4096,Integrated,15.6,Ultra,346429.0
8,1024,M5 Max,16.0,Max,300076.0
8,512,M5 Pro,17.3,Base,188933.0
8,512,RTX 5080,14.0,Pro,238324.0
32,1024,RTX 5080,13.3,Base,263917.0
64,2048,RTX 5060,14.0,Ultra,345554.0
128,512,M5 Max,17.3,Max,368540.0
8,2048,Integrated,16.0,Base,179031.0
64,256,RTX 5080,17.3,Ultra,339460.0
128,2048,M5 Pro,15.6,Base,325821.0
64,256,RTX 5080,14.0,Ultra,341908.0
32,256,M5 Pro,13.3,Pro,209430.0
64,4096,M5 Pro,17.3,Base,379194.0
64,1024,RTX 5080,14.0,Max,330859.0
16,256,M5 Max,18.0,Base,219230.0
128,4096,RTX 5060,15.6,Max,447932.0
16,512,Integrated,14.0,Max,168644.0
16,512,M5 Max,14.0,Base,224255.0
16,2048,M5 Pro,17.3,Ultra,325422.0
128,4096,RTX 5080,18.0,Max,529808.0
16,2048,Integrated,16.0,Ultra,266431.0
32,1024,M5 Max,13.3,Max,322938.0
128,256,RTX 5080,16.0,Ultra,386456.0
8,256,RTX 5080,15.6,Base,208409.0
8,4096,M5 Max,17.3,Ultra,450282.0
64,4096,M5 Max,18.0,Base,412935.0
64,4096,RTX 5060,15.6,Ultra,435357.0
128,512,Integrated,16.0,Base,198743.0
32,256,M5 Max,18.0,Pro,264753.0
8,512,M5 Pro,16.0,Pro,196335.0
32,1024,RTX 5080,16.0,Ultra,342574.0
32,4096,Integrated,18.0,Max,326533.0
8,1024,Integrated,17.3,Ultra,220030.0
32,1024,M5 Max,14.0,Max,307569.0
8,4096,RTX 5060,15.6,Max,357978.0
64,512,M5 Max,18.0,Base,278409.0
32,4096,M5 Pro,18.0,Max,386849.0
16,4096,Integrated,18.0,Ultra,344889.0
128,1024,Integrated,15.6,Max,265344.0
16,512,RTX 5080,16.0,Pro,253376.0
16,512,RTX 5060,13.3,Max,207440.0
8,4096,M5 Max,18.0,Base,378773.0
32,4096,RTX 5060,17.3,Ultra,401383.0
16,512,RTX 5060,18.0,Pro,186486.0
64,256,M5 Pro,15.6,Pro,228441.0
64,4096,RTX 5080,18.0,Ultra,510230.0
16,4096,RTX 5060,15.6,Ultra,394761.0
16,1024,M5 Max,16.0,Ultra,331746.0
32,2048,M5 Max,17.3,Ultra,400345.0
16,512,M5 Max,14.0,Max,281927.0
8,2048,RTX 5080,17.3,Base,291636.0
128,256,RTX 5080,13.3,Pro,338574.0
32,2048,M5 Max,14.0,Ultra,387843.0
8,512,M5 Pro,15.6,Base,172860.0
64,256,M5 Pro,17.3,Max,258408.0
16,2048,Integrated,15.6,Pro,197959.0
8,1024,Integrated,18.0,Max,180015.0
16,512,Integrated,15.6,Ultra,192653.0
16,2048,M5 Pro,17.3,Base,243815.0
8,256,RTX 5080,14.0,Pro,235533.0
128,4096,M5 Max,16.0,Base,471643.0
32,512,RTX 5080,13.3,Base,245801.0
16,2048,M5 Max,16.0,Base,297686.0
8,2048,M5 Max,17.3,Base,283773.0
128,4096,RTX 5060,18.0,Pro,429198.0
32,2048,Integrated,17.3,Max,249652.0
16,4096,M5 Pro,14.0,Base,324547.0
128,1024,Integrated,17.3,Base,222737.0
64,2048,Integrated,18.0,Ultra,304458.0
32,1024,Integrated,15.6,Base,140251.0
32,512,Integrated,17.3,Max,186008.0
16,256,RTX 5080,17.3,Max,282239.0
16,2048,M5 Pro,18.0,Pro,280228.0
16,256,M5 Pro,13.3,Max,212691.0
16,256,RTX 5060,13.3,Max,205619.0
32,4096,M5 Pro,17.3,Ultra,430428.0
32,256,RTX 5060,15.6,Max,207916.0
8,1024,RTX 5080,13.3,Max,288102.0
64,2048,M5 Pro,16.0,Max,340322.0
16,2048,M5 Pro,15.6,Max,292886.0
8,2048,Integrated,16.0,Pro,187399.0
128,1024,RTX 5080,13.3,Base,337947.0
32,1024,RTX 5080,16.0,Ultra,345359.0
16,2048,RTX 5080,16.0,Base,291185.0
32,4096,M5 Pro,15.6,Base,347659.0
8,2048,RTX 5080,17.3,Pro,316337.0
8,512,M5 Max,18.0,Ultra,320957.0
8,512,Integrated,14.0,Max,153191.0
32,2048,M5 Max,13.3,Pro,331334.0
64,1024,RTX 5080,16.0,Base,298258.0
128,512,M5 Max,15.6,Ultra,399257.0
32,1024,RTX 5060,13.3,Base,197422.0
16,2048,M5 Max,16.0,Base,295028.0
32,1024,M5 Pro,14.0,Max,260509.0
64,512,Integrated,14.0,Base,158902.0
64,512,M5 Pro,13.3,Max,259430.0
32,256,M5 Max,17.3,Max,282371.0
32,512,RTX 5060,15.6,Pro,196484.0
8,512,RTX 5060,14.0,Ultra,242928.0
8,1024,M5 Max,17.3,Max,293041.0
64,4096,RTX 5060,17.3,Base,356536.0
8,1024,M5 Pro,18.0,Ultra,286767.0
128,2048,M5 Pro,17.3,Base,336725.0
16,1024,Integrated,16.0,Ultra,210997.0
128,1024,RTX 5060,17.3,Pro,304903.0
16,2048,M5 Max,13.3,Base,294095.0
128,512,RTX 5080,14.0,Pro,347124.0
32,512,RTX 5080,17.3,Max,303864.0
8,1024,RTX 5060,18.0,Max,226703.0
16,1024,M5 Max,17.3,Base,261860.0
128,512,M5 Max,17.3,Pro,347142.0
16,4096,M5 Max,15.6,Base,384804.0
8,256,Integrated,18.0,Max,157765.0
16,4096,M5 Pro,17.3,Base,329370.0
64,4096,RTX 5080,18.0,Max,480571.0
64,512,M5 Pro,15.6,Ultra,294559.0
8,256,RTX 5060,16.0,Ultra,222146.0
64,2048,RTX 5060,15.6,Pro,287604.0
32,1024,RTX 5080,16.0,Pro,285813.0
32,4096,M5 Max,13.3,Max,445168.0
16,2048,Integrated,15.6,Ultra,255355.0
16,512,Integrated,13.3,Max,161190.0
64,4096,M5 Pro,14.0,Pro,386336.0
32,4096,RTX 5080,14.0,Pro,415965.0
64,4096,M5 Pro,16.0,Max,420285.0
64,256,Integrated,16.0,Ultra,224591.0
16,512,M5 Max,15.6,Base,234937.0
8,1024,M5 Pro,17.3,Ultra,274439.0
32,4096,Integrated,13.3,Ultra,340492.0
16,1024,RTX 5080,16.0,Max,301641.0
8,2048,Integrated,17.3,Pro,196989.0
32,4096,RTX 5080,13.3,Ultra,458889.0
128,2048,M5 Max,15.6,Base,382910.0
16,256,M5 Pro,15.6,Max,226162.0
128,1024,RTX 5060,14.0,Ultra,343849.0
128,256,Integrated,13.3,Pro,209063.0
32,2048,M5 Max,16.0,Pro,328727.0
128,4096,RTX 5060,15.6,Max,446980.0
16,2048,M5 Max,18.0,Max,357084.0
128,1024,M5 Max,17.3,Ultra,422571.0
128,1024,M5 Pro,13.3,Max,349183.0
32,256,M5 Pro,17.3,Max,236318.0
8,4096,M5 Pro,15.6,Pro,347787.0
8,4096,M5 Pro,14.0,Ultra,389091.0
16,512,Integrated,17.3,Base,125951.0
16,256,M5 Pro,15.6,Ultra,251073.0
16,2048,RTX 5060,16.0,Ultra,308658.0
8,512,M5 Max,14.0,Max,267307.0
64,4096,M5 Pro,15.6,Pro,380240.0
64,4096,RTX 5080,17.3,Max,464692.0
32,4096,M5 Pro,14.0,Pro,350178.0
32,4096,RTX 5080,14.0,Max,432827.0
32,512,M5 Pro,15.6,Ultra,275282.0
32,4096,RTX 5080,15.6,Base,386176.0
128,4096,M5 Pro,16.0,Max,471719.0
16,1024,Integrated,15.6,Base,128873.0
32,2048,RTX 5080,18.0,Ultra,400970.0
16,512,M5 Max,15.6,Max,285116.0
16,256,M5 Max,18.0,Pro,244766.0
16,256,M5 Max,14.0,Pro,234413.0
8,256,M5 Pro,15.6,Ultra,250001.0
8,512,Integrated,17.3,Pro,123562.0
64,2048,M5 Pro,18.0,Pro,315401.0
32,1024,RTX 5080,18.0,Base,277865.0
8,4096,RTX 5060,17.3,Base,304657.0
16,2048,RTX 5060,13.3,Ultra,302581.0
64,512,RTX 5080,13.3,Base,258697.0
32,4096,M5 Max,13.3,Max,434848.0
32,2048,M5 Max,17.3,Ultra,385387.0
16,4096,M5 Pro,15.6,Pro,355049.0
8,1024,RTX 5060,18.0,Ultra,259105.0
32,512,Integrated,18.0,Max,183418.0
32,4096,RTX 5060,14.0,Ultra,387852.0
64,4096,RTX 5080,13.3,Ultra,489183.0
8,512,RTX 5060,16.0,Max,206467.0
16,256,RTX 5080,16.0,Pro,235768.0
64,1024,RTX 5080,15.6,Base,295017.0
32,1024,RTX 5060,13.3,Base,189148.0
64,1024,RTX 5060,16.0,Max,283048.0
8,1024,RTX 5080,17.3,Pro,264927.0
16,512,M5 Pro,14.0,Ultra,265807.0
128,1024,M5 Pro,18.0,Ultra,388530.0
128,512,RTX 5060,18.0,Base,264928.0
128,2048,M5 Max,18.0,Max,447826.0
8,4096,Integrated,13.3,Pro,274795.0
128,4096,RTX 5060,14.0,Max,439313.0
128,2048,Integrated,18.0,Pro,285424.0
128,2048,Integrated,17.3,Ultra,341063.0
8,2048,RTX 5060,17.3,Ultra,300277.0
64,4096,Integrated,17.3,Ultra,381683.0
32,256,M5 Pro,15.6,Base,180480.0
16,4096,Integrated,13.3,Ultra,328884.0
32,256,M5 Max,13.3,Base,232958.0
64,256,RTX 5080,16.0,Pro,287992.0
16,2048,RTX 5080,16.0,Ultra,369634.0
64,2048,Integrated,18.0,Pro,242704.0
32,256,RTX 5060,17.3,Ultra,252584.0
128,512,RTX 5060,13.3,Base,253877.0
32,2048,M5 Max,16.0,Ultra,388307.0
16,512,M5 Pro,15.6,Pro,208671.0
32,512,Integrated,13.3,Ultra,193408.0
128,256,RTX 5060,14.0,Base,248389.0
8,4096,Integrated,16.0,Base,242938.0
16,256,M5 Pro,16.0,Pro,192226.0
128,512,Integrated,14.0,Max,255392.0
16,4096,RTX 5080,17.3,Max,435163.0
16,1024,RTX 5060,18.0,Pro,216539.0
64,1024,RTX 5080,13.3,Pro,306160.0
64,4096,M5 Pro,13.3,Max,405811.0
64,4096,RTX 5080,18.0,Ultra,495400.0
64,512,RTX 5080,16.0,Pro,286182.0
128,2048,RTX 5060,14.0,Max,369421.0
16,2048,Integrated,17.3,Ultra,268486.0
64,4096,M5 Max,14.0,Ultra,488526.0
16,1024,RTX 5060,15.6,Base,183295.0
64,1024,Integrated,17.3,Pro,191251.0
8,1024,M5 Pro,18.0,Base,204490.0
8,512,M5 Max,18.0,Pro,250531.0
64,512,RTX 5080,15.6,Base,264047.0
16,512,Integrated,18.0,Ultra,190342.0
16,4096,RTX 5060,16.0,Pro,337180.0
128,1024,RTX 5080,16.0,Ultra,426534.0
128,1024,RTX 5080,15.6,Max,389289.0
128,2048,M5 Pro,13.3,Ultra,410268.0
32,512,RTX 5080,15.6,Ultra,322614.0
8,4096,RTX 5060,18.0,Pro,325164.0
8,1024,M5 Max,17.3,Ultra,326290.0
32,512,RTX 5060,15.6,Pro,194081.0
64,4096,RTX 5060,16.0,Max,391886.0
32,2048,M5 Pro,16.0,Pro,276251.0
32,512,RTX 5060,18.0,Ultra,267448.0
16,4096,Integrated,17.3,Base,268577.0
8,256,Integrated,16.0,Pro,111179.0
16,256,RTX 5060,13.3,Pro,166696.0
128,2048,RTX 5080,13.3,Ultra,462436.0
64,256,Integrated,17.3,Ultra,227533.0
8,256,M5 Max,18.0,Max,264182.0
128,1024,Integrated,17.3,Ultra,311924.0
16,256,Integrated,17.3,Pro,135215.0
16,512,M5 Max,17.3,Max,284193.0
32,1024,M5 Pro,13.3,Max,272225.0
64,2048,M5 Max,14.0,Pro,359044.0
32,256,Integrated,13.3,Ultra,196247.0
64,2048,M5 Max,16.0,Base,334700.0
8,512,Integrated,16.0,Ultra,196629.0
32,4096,Integrated,17.3,Base,272731.0
16,512,M5 Max,16.0,Max,282774.0
8,256,RTX 5080,17.3,Base,215552.0
16,1024,Integrated,14.0,Pro,143084.0
64,256,RTX 5080,14.0,Pro,272581.0
128,2048,M5 Max,15.6,Ultra,475390.0
16,256,M5 Max,18.0,Max,270850.0
8,256,M5 Pro,14.0,Base,161228.0
32,4096,M5 Max,17.3,Ultra,483347.0
32,256,RTX 5080,16.0,Ultra,313141.0
16,1024,M5 Max,16.0,Ultra,341245.0
16,4096,M5 Pro,13.3,Max,374954.0
16,256,Integrated,15.6,Pro,118988.0
64,512,M5 Pro,15.6,Max,272315.0
8,256,Integrated,15.6,Ultra,171549.0
32,1024,Integrated,14.0,Base,147676.0
16,2048,M5 Pro,17.3,Ultra,328896.0
8,256,Integrated,15.6,Base,97990.0
128,4096,RTX 5080,16.0,Base,477696.0
32,2048,M5 Pro,13.3,Pro,270650.0
128,4096,RTX 5060,18.0,Ultra,482428.0
16,512,RTX 5080,15.6,Max,289163.0
64,512,Integrated,14.0,Ultra,220184.0
32,2048,RTX 5080,16.0,Base,300734.0
32,1024,RTX 5060,18.0,Ultra,274091.0
128,4096,RTX 5060,16.0,Base,389063.0
16,1024,Integrated,16.0,Max,193072.0
128,2048,RTX 5080,16.0,Max,431349.0
64,4096,RTX 5060,15.6,Max,399668.0
128,512,M5 Pro,15.6,Pro,300597.0
64,1024,RTX 5080,18.0,Ultra,370265.0
128,512,RTX 5080,16.0,Max,368507.0
64,1024,Integrated,17.3,Pro,199732.0
128,4096,RTX 5060,18.0,Base,394092.0
64,512,M5 Pro,15.6,Base,217790.0
64,2048,RTX 5060,18.0,Max,320123.0
16,1024,RTX 5060,18.0,Ultra,273603.0
64,256,M5 Pro,17.3,Ultra,297744.0
128,2048,M5 Max,17.3,Ultra,474681.0
128,256,RTX 5080,18.0,Base,314830.0
8,512,RTX 5080,14.0,Base,232520.0
128,2048,RTX 5080,16.0,Base,396080.0
8,256,RTX 5080,14.0,Pro,230285.0
64,1024,M5 Pro,16.0,Pro,274030.0
32,256,M5 Pro,13.3,Max,242408.0
64,256,Integrated,18.0,Pro,167028.0
32,1024,RTX 5080,16.0,Pro,290389.0
128,2048,RTX 5080,16.0,Base,384373.0
64,2048,RTX 5080,13.3,Max,373050.0
8,256,Integrated,15.6,Base,106927.0
16,512,M5 Max,14.0,Pro,249942.0
32,4096,M5 Pro,16.0,Pro,358554.0
64,512,RTX 5060,18.0,Ultra,291003.0
64,256,M5 Max,14.0,Ultra,330793.0
128,2048,M5 Pro,13.3,Pro,351895.0
16,1024,Integrated,17.3,Base,139383.0
128,512,RTX 5080,15.6,Pro,334747.0
64,256,RTX 5080,18.0,Ultra,346777.0
128,1024,M5 Max,16.0,Ultra,429019.0
